NU_INSCRICAO,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_COR_RACA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q005,Q006,Q025
160000444362,CE,24,M,3,,,,,,5,C,A
160008493026,SC,18,F,1,601.5,601.1,645.1,511.7,620,2,G,B
160000444363,MG,19,M,0,597.1,655.9,584.3,533.2,620,6,P,B
160008495887,RR,18,F,3,534.9,575.3,636.7,540.5,660,6,E,A
160000444364,SP,19,F,1,666,661.6,612.9,733.9,780,5,E,B
160000444365,SP,20,F,1,541.5,597.8,589.1,548,600,4,F,B
160000444366,PA,19,F,3,,,,,,4,C,B
160000444367,SP,25,F,1,606.7,591.8,653.2,514.4,680,5,H,B
160000444368,RJ,19,F,1,,,,,,2,E,B
160000444369,BA,23,F,3,487.3,459.2,501.6,401.2,400,3,B,B
160000444370,SC,16,M,1,580.2,611.9,584,641.6,520,4,L,B
160000447732,BA,23,F,3,,,,,,3,C,A
160000447733,MA,25,M,2,,,,,,4,H,B
160000447734,SE,30,M,3,405.7,637.4,,,,3,I,B
160000447735,AM,19,F,1,575,686,636.5,487.3,700,4,C,B
160000447736,RJ,29,F,3,484.5,624.6,550.4,622.1,580,4,E,B
160000447737,SP,24,F,1,660.1,604.7,560.1,624.6,860,3,D,B
160000447738,SP,19,F,1,602.3,657.3,665.2,696.7,480,2,E,B
160000447739,SP,40,M,1,,,,,,4,F,B
160000447740,SP,20,F,2,421.1,434.7,423.6,549.5,560,4,F,B
160000447741,SP,19,F,1,518.6,560.4,565.7,474.6,800,4,C,B
160000447742,PA,45,M,3,439.9,597,555.1,711.4,660,10,G,B
160000447743,AL,32,M,3,668.7,757.8,656,563.1,800,2,N,B
160008374681,BA,18,F,3,369.8,494.9,539.2,474.5,480,7,C,B
160000447744,PB,22,F,1,461.4,613.3,614.5,592,760,4,A,B
160000447745,MG,21,F,0,555.7,658.4,590.5,612.9,880,4,C,B
160000447746,DF,17,M,3,,,,,,5,E,B
160000447747,MG,22,F,1,398,412.6,496.7,503.3,440,4,C,B
160000447748,SP,17,M,1,649.9,660.2,665.5,771.1,900,3,G,B
160000447749,RJ,17,F,3,592.7,528.8,543.5,493.2,640,3,C,B
160000447750,RJ,28,M,1,398.3,535.5,564,449.1,460,2,C,A
160000447751,CE,23,M,2,387.6,541.1,464.5,416.4,560,7,B,A
160000447752,GO,25,M,1,396.8,461.4,468.1,400.5,520,4,D,B
160000447753,RJ,32,F,3,398,507.7,543,371.6,460,4,E,B
160000447754,BA,29,F,3,599.4,695.8,640.1,707.9,820,2,F,B
160000447755,BA,24,F,3,471.6,555.9,590.6,525.8,440,3,C,A
160000447756,MG,22,M,1,379.6,549.8,468.6,570.7,580,1,B,B
160000447757,SP,18,M,1,455.7,553.1,529.6,528.3,500,5,F,B
160000447758,RJ,40,F,1,476.7,589.7,589.9,559.8,680,3,C,B
160008576954,MG,45,F,1,635.3,660.1,633.2,662.8,880,3,K,B
160000447759,ES,19,M,3,,,,,,2,B,B
160000447760,SP,17,M,1,376.6,383.8,414.4,452.2,520,5,D,B
160000447761,CE,19,M,3,543.5,580.7,482.4,595.8,740,4,E,B
160000447762,SP,18,F,1,475.7,670,612.8,466.6,620,3,F,B
160000447763,MS,21,F,1,486.6,543,545.8,368.4,420,3,B,A
160000447764,MG,21,M,3,728.1,730.2,632.2,844,960,3,A,B
160000447765,ES,26,F,1,742.2,686.2,673.4,797.5,860,3,G,B
160000447766,PI,16,M,1,429.2,482,417.9,545.2,700,9,B,B
160000447767,PA,22,F,3,529.9,593.1,561.5,407.5,540,5,C,A
160000447768,GO,18,F,3,571,636,580.3,606.5,720,6,C,B
160000447769,BA,17,M,3,540.9,537.7,573.7,485.2,560,3,F,B
160000447770,SC,19,F,1,558.9,627.9,583.5,393.7,520,3,G,B
160000447771,MG,31,M,3,,,,,,4,E,B
160000447772,PB,53,M,1,,,,,,7,N,B
160000447773,PA,40,F,1,519.6,523.1,579.4,421.4,640,6,G,A
160000447774,SC,20,F,1,571.3,685.4,625.8,460.7,820,3,D,B
160000447775,BA,38,M,3,487.6,656.2,627.8,566.1,840,4,I,B
160000447776,SP,30,F,3,,,,,,2,D,A
160000447777,MG,25,F,3,,,,,,9,C,A
160000447778,SP,19,F,1,513.5,531,554.8,503.4,520,5,H,B
160000447779,MG,32,F,1,,,,,,2,E,A
160000447780,AM,20,M,3,421.3,547.9,504.3,507.8,400,4,E,B
